region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
States,Colorado,2019,23,229,2,3,2.18,0.87,1.31,2019-06-02
States,Connecticut,2019,23,334,3,0,0.9,0.9,0,2019-06-02
States,Delaware,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,District of Columbia,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,Florida,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,Georgia,2019,23,257,1,3,1.56,0.39,1.17,2019-06-02
States,Hawaii,2019,23,290,8,10,6.21,2.76,3.45,2019-06-02
States,Idaho,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,Illinois,2019,23,11,0,0,0,0,0,2019-06-02
States,Indiana,2019,23,129,0,0,0,0,0,2019-06-02
States,Iowa,2019,23,136,1,0,0.74,0.74,0,2019-06-02
States,Kansas,2019,23,56,0,0,0,0,0,2019-06-02
States,Kentucky,2019,23,322,1,1,0.62,0.31,0.31,2019-06-02
States,Louisiana,2019,23,39,1,2,7.69,2.56,5.13,2019-06-02
States,Maine,2019,23,12,0,0,0,0,0,2019-06-02
States,Maryland,2019,23,14,0,0,0,0,0,2019-06-02
States,Massachusetts,2019,23,301,1,7,2.66,0.33,2.33,2019-06-02
States,Michigan,2019,23,479,2,26,5.85,0.42,5.43,2019-06-02
States,Minnesota,2019,23,189,1,1,1.06,0.53,0.53,2019-06-02
States,Mississippi,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,Missouri,2019,23,500,0,9,1.8,0,1.8,2019-06-02
States,Montana,2019,23,67,2,0,2.99,2.99,0,2019-06-02
States,Nebraska,2019,23,64,0,0,0,0,0,2019-06-02
States,Nevada,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,New Hampshire,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,New Jersey,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,New Mexico,2019,23,207,4,1,2.42,1.93,0.48,2019-06-02
States,New York,2019,23,1136,6,0,0.53,0.53,0,2019-06-02
States,North Carolina,2019,23,38,0,0,0,0,0,2019-06-02
States,North Dakota,2019,23,41,0,1,2.44,0,2.44,2019-06-02
States,Ohio,2019,23,757,3,2,0.66,0.4,0.26,2019-06-02
States,Oklahoma,2019,23,123,1,0,0.81,0.81,0,2019-06-02
States,Oregon,2019,23,58,1,3,6.9,1.72,5.17,2019-06-02
States,Pennsylvania,2019,23,149,0,0,0,0,0,2019-06-02
States,Rhode Island,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,South Carolina,2019,23,153,0,0,0,0,0,2019-06-02
States,South Dakota,2019,23,48,1,0,2.08,2.08,0,2019-06-02
States,Tennessee,2019,23,18,0,2,11.11,0,11.11,2019-06-02
States,Texas,2019,23,315,0,11,3.49,0,3.49,2019-06-02
States,Utah,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,Vermont,2019,23,44,0,1,2.27,0,2.27,2019-06-02
States,Virginia,2019,23,145,0,0,0,0,0,2019-06-02
States,Washington,2019,23,201,4,0,1.99,1.99,0,2019-06-02
States,West Virginia,2019,23,337,0,0,0,0,0,2019-06-02
States,Wisconsin,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,Wyoming,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,Puerto Rico,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,Virgin Islands,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
States,New York City,2019,23,NA,NA,NA,NA,NA,NA,2019-06-02
