region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 2,2018,42,2394,7,0,0.292398,0.292398,0,2018-10-14
HHS Regions,Region 3,2018,42,1265,9,0,0.711462,0.711462,0,2018-10-14
HHS Regions,Region 4,2018,42,4685,246,57,6.46745,5.2508,1.21665,2018-10-14
HHS Regions,Region 5,2018,42,4024,10,5,0.372763,0.248509,0.124254,2018-10-14
HHS Regions,Region 6,2018,42,2337,19,18,1.58323,0.813008,0.770218,2018-10-14
HHS Regions,Region 7,2018,42,1144,3,0,0.262238,0.262238,0,2018-10-14
HHS Regions,Region 8,2018,42,1161,4,0,0.344531,0.344531,0,2018-10-14
HHS Regions,Region 9,2018,42,777,5,5,1.287,0.643501,0.643501,2018-10-14
HHS Regions,Region 10,2018,42,1046,6,3,0.860421,0.573614,0.286807,2018-10-14
HHS Regions,Region 1,2018,43,1152,12,4,1.38889,1.04167,0.347222,2018-10-21
HHS Regions,Region 2,2018,43,2511,11,3,0.557547,0.438072,0.119474,2018-10-21
HHS Regions,Region 3,2018,43,1434,7,1,0.55788,0.488145,0.069735,2018-10-21
HHS Regions,Region 4,2018,43,4923,248,64,6.3376,5.03758,1.30002,2018-10-21
HHS Regions,Region 5,2018,43,4246,21,8,0.682996,0.494583,0.188413,2018-10-21
HHS Regions,Region 6,2018,43,2436,19,14,1.35468,0.779967,0.574713,2018-10-21
HHS Regions,Region 7,2018,43,1202,3,0,0.249584,0.249584,0,2018-10-21
HHS Regions,Region 8,2018,43,1262,4,1,0.396197,0.316957,0.0792393,2018-10-21
HHS Regions,Region 9,2018,43,812,4,0,0.492611,0.492611,0,2018-10-21
HHS Regions,Region 10,2018,43,1084,6,3,0.830258,0.553506,0.276753,2018-10-21
HHS Regions,Region 1,2018,44,1279,19,5,1.87647,1.48554,0.39093,2018-10-28
HHS Regions,Region 2,2018,44,2438,12,2,0.574241,0.492207,0.0820345,2018-10-28
HHS Regions,Region 3,2018,44,1518,2,1,0.197628,0.131752,0.0658762,2018-10-28
HHS Regions,Region 4,2018,44,4850,247,47,6.06186,5.09278,0.969072,2018-10-28
HHS Regions,Region 5,2018,44,4370,36,6,0.961098,0.823799,0.1373,2018-10-28
HHS Regions,Region 6,2018,44,2849,29,21,1.755,1.0179,0.737101,2018-10-28
HHS Regions,Region 7,2018,44,1238,0,0,0,0,0,2018-10-28
HHS Regions,Region 8,2018,44,1290,8,4,0.930233,0.620155,0.310078,2018-10-28
HHS Regions,Region 9,2018,44,908,14,3,1.87225,1.54185,0.330396,2018-10-28
HHS Regions,Region 10,2018,44,946,8,2,1.05708,0.845666,0.211416,2018-10-28
HHS Regions,Region 1,2018,45,1268,25,0,1.97161,1.97161,0,2018-11-04
HHS Regions,Region 2,2018,45,2456,25,1,1.05863,1.01792,0.0407166,2018-11-04
HHS Regions,Region 3,2018,45,1554,4,4,0.514801,0.2574,0.2574,2018-11-04
HHS Regions,Region 4,2018,45,5091,363,57,8.24985,7.13023,1.11962,2018-11-04
HHS Regions,Region 5,2018,45,4518,49,10,1.30589,1.08455,0.221337,2018-11-04
HHS Regions,Region 6,2018,45,3014,30,15,1.49303,0.995355,0.497678,2018-11-04
HHS Regions,Region 7,2018,45,1257,5,0,0.397772,0.397772,0,2018-11-04
HHS Regions,Region 8,2018,45,1351,12,1,0.96225,0.888231,0.0740192,2018-11-04
HHS Regions,Region 9,2018,45,973,14,2,1.6444,1.43885,0.20555,2018-11-04
HHS Regions,Region 10,2018,45,1222,8,4,0.981997,0.654664,0.327332,2018-11-04
HHS Regions,Region 1,2018,46,1234,14,4,1.45867,1.13452,0.324149,2018-11-11
HHS Regions,Region 2,2018,46,2492,32,1,1.32424,1.28411,0.0401284,2018-11-11
HHS Regions,Region 3,2018,46,1625,9,0,0.553846,0.553846,0,2018-11-11
HHS Regions,Region 4,2018,46,5333,405,55,8.62554,7.59422,1.03131,2018-11-11
HHS Regions,Region 5,2018,46,4850,80,12,1.89691,1.64948,0.247423,2018-11-11
HHS Regions,Region 6,2018,46,3122,36,18,1.72966,1.15311,0.576553,2018-11-11
HHS Regions,Region 7,2018,46,994,21,0,2.11268,2.11268,0,2018-11-11
HHS Regions,Region 8,2018,46,1347,23,1,1.78174,1.7075,0.074239,2018-11-11
HHS Regions,Region 9,2018,46,1003,16,0,1.59521,1.59521,0,2018-11-11
HHS Regions,Region 10,2018,46,1191,13,4,1.42737,1.09152,0.335852,2018-11-11
HHS Regions,Region 1,2018,47,1256,24,0,1.91083,1.91083,0,2018-11-18
HHS Regions,Region 2,2018,47,2563,40,4,1.71674,1.56067,0.156067,2018-11-18
HHS Regions,Region 3,2018,47,1642,26,1,1.64434,1.58343,0.0609013,2018-11-18
HHS Regions,Region 4,2018,47,5371,485,37,9.71886,9.02998,0.688885,2018-11-18
HHS Regions,Region 5,2018,47,4657,85,8,1.99699,1.82521,0.171784,2018-11-18
HHS Regions,Region 6,2018,47,3309,91,13,3.14294,2.75008,0.392868,2018-11-18
HHS Regions,Region 7,2018,47,1269,35,0,2.75808,2.75808,0,2018-11-18
HHS Regions,Region 8,2018,47,1358,25,3,2.06186,1.84094,0.220913,2018-11-18
HHS Regions,Region 9,2018,47,1031,41,1,4.07371,3.97672,0.0969932,2018-11-18
HHS Regions,Region 10,2018,47,1317,27,1,2.12604,2.05011,0.0759301,2018-11-18
HHS Regions,Region 1,2018,48,1551,39,3,2.70793,2.51451,0.193424,2018-11-25
HHS Regions,Region 2,2018,48,2977,75,7,2.75445,2.51931,0.235136,2018-11-25
HHS Regions,Region 3,2018,48,1872,28,2,1.60256,1.49573,0.106838,2018-11-25
HHS Regions,Region 4,2018,48,5570,455,52,9.10233,8.16876,0.933573,2018-11-25
HHS Regions,Region 5,2018,48,5377,125,6,2.4363,2.32472,0.111586,2018-11-25
HHS Regions,Region 6,2018,48,3169,67,9,2.39823,2.11423,0.284001,2018-11-25
HHS Regions,Region 7,2018,48,1549,30,0,1.93673,1.93673,0,2018-11-25
HHS Regions,Region 8,2018,48,1598,44,0,2.75344,2.75344,0,2018-11-25
HHS Regions,Region 9,2018,48,1204,73,3,6.31229,6.06312,0.249169,2018-11-25
HHS Regions,Region 10,2018,48,1509,20,2,1.45792,1.32538,0.132538,2018-11-25
HHS Regions,Region 1,2018,49,1514,67,5,4.75561,4.42536,0.330251,2018-12-02
HHS Regions,Region 2,2018,49,2414,73,6,3.27258,3.02403,0.24855,2018-12-02
HHS Regions,Region 3,2018,49,1761,42,2,2.49858,2.38501,0.113572,2018-12-02
HHS Regions,Region 4,2018,49,6026,728,76,13.3422,12.081,1.2612,2018-12-02
HHS Regions,Region 5,2018,49,5504,179,12,3.4702,3.25218,0.218023,2018-12-02
HHS Regions,Region 6,2018,49,2928,131,16,5.02049,4.47404,0.546448,2018-12-02
HHS Regions,Region 7,2018,49,1584,54,3,3.59848,3.40909,0.189394,2018-12-02
HHS Regions,Region 8,2018,49,1603,89,5,5.864,5.55209,0.311915,2018-12-02
HHS Regions,Region 9,2018,49,1037,135,5,13.5005,13.0183,0.48216,2018-12-02
HHS Regions,Region 10,2018,49,1522,42,1,2.82523,2.75953,0.065703,2018-12-02
HHS Regions,Region 1,2018,50,1113,73,0,6.55885,6.55885,0,2018-12-09
HHS Regions,Region 2,2018,50,2662,129,5,5.03381,4.84598,0.187829,2018-12-09
HHS Regions,Region 3,2018,50,1131,50,4,4.77454,4.42087,0.353669,2018-12-09
HHS Regions,Region 4,2018,50,6193,1224,87,21.1691,19.7642,1.40481,2018-12-09
HHS Regions,Region 5,2018,50,4524,284,18,6.67551,6.27763,0.397878,2018-12-09
HHS Regions,Region 6,2018,50,3234,321,22,10.6061,9.92579,0.680272,2018-12-09
HHS Regions,Region 7,2018,50,1144,118,1,10.4021,10.3147,0.0874126,2018-12-09
HHS Regions,Region 8,2018,50,1814,188,6,10.6946,10.3638,0.330761,2018-12-09
HHS Regions,Region 9,2018,50,794,66,1,8.43829,8.31234,0.125945,2018-12-09
HHS Regions,Region 10,2018,50,1567,69,0,4.40332,4.40332,0,2018-12-09
