region_type,region,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start
HHS Regions,Region 10,2017,44,0.956682,1.31131,180,151,NA,219,57,48,655,140,49950,2017-10-30
HHS Regions,Region 1,2017,45,1.08602,1.03314,179,116,NA,272,41,36,644,144,62334,2017-11-06
HHS Regions,Region 2,2017,45,2.39732,1.90399,1180,421,NA,778,191,152,2722,178,142963,2017-11-06
HHS Regions,Region 3,2017,45,1.30465,1.49433,950,610,NA,865,237,168,2830,358,189382,2017-11-06
HHS Regions,Region 4,2017,45,2.12802,2.56589,1411,815,NA,1647,301,203,4377,396,170584,2017-11-06
HHS Regions,Region 5,2017,45,1.32897,1.34042,507,249,NA,597,123,80,1556,310,116083,2017-11-06
HHS Regions,Region 6,2017,45,3.31967,3.28045,1166,800,NA,1309,310,193,3778,282,115167,2017-11-06
HHS Regions,Region 7,2017,45,1.25143,1.48451,112,64,NA,150,25,19,370,113,24924,2017-11-06
HHS Regions,Region 8,2017,45,0.772473,0.842063,159,106,NA,220,59,38,582,146,69116,2017-11-06
HHS Regions,Region 9,2017,45,1.92844,1.76979,280,255,NA,624,163,174,1496,212,84530,2017-11-06
HHS Regions,Region 10,2017,45,1.00098,1.46684,187,180,NA,220,75,69,731,155,49835,2017-11-06
HHS Regions,Region 1,2017,46,1.19528,1.11418,162,124,NA,303,60,57,706,145,63365,2017-11-13
HHS Regions,Region 2,2017,46,2.828,2.35052,1495,539,NA,966,260,194,3454,183,146946,2017-11-13
HHS Regions,Region 3,2017,46,1.581,1.68959,1027,707,NA,1046,270,186,3236,358,191526,2017-11-13
HHS Regions,Region 4,2017,46,2.22418,2.83018,1584,999,NA,1775,348,239,4945,394,174724,2017-11-13
HHS Regions,Region 5,2017,46,1.21085,1.26252,432,231,NA,554,112,87,1416,301,112157,2017-11-13
HHS Regions,Region 6,2017,46,3.92209,3.51841,1336,949,NA,1603,390,280,4558,285,129547,2017-11-13
HHS Regions,Region 7,2017,46,1.40765,1.74539,172,97,NA,180,31,17,497,113,28475,2017-11-13
HHS Regions,Region 8,2017,46,0.842594,1.02627,196,132,NA,247,57,50,682,149,66454,2017-11-13
HHS Regions,Region 9,2017,46,2.0318,1.8817,305,307,NA,657,196,223,1688,221,89706,2017-11-13
HHS Regions,Region 10,2017,46,0.929811,1.33272,178,167,NA,259,83,63,750,153,56276,2017-11-13
HHS Regions,Region 1,2017,47,1.60758,1.49206,214,107,NA,234,56,39,650,147,43564,2017-11-20
HHS Regions,Region 2,2017,47,2.83733,2.32193,1355,464,NA,812,218,179,3028,181,130409,2017-11-20
HHS Regions,Region 3,2017,47,1.64013,1.83265,1021,648,NA,912,261,229,3071,355,167572,2017-11-20
HHS Regions,Region 4,2017,47,2.54255,3.28494,1592,918,NA,1379,388,307,4584,385,139546,2017-11-20
HHS Regions,Region 5,2017,47,1.54292,1.58138,492,212,NA,413,115,108,1340,301,84736,2017-11-20
HHS Regions,Region 6,2017,47,4.11395,4.16976,1414,897,NA,1142,369,283,4105,282,98447,2017-11-20
HHS Regions,Region 7,2017,47,1.72814,2.25138,186,81,NA,156,32,34,489,114,21720,2017-11-20
HHS Regions,Region 8,2017,47,0.935706,0.985543,166,105,NA,160,57,41,529,151,53676,2017-11-20
HHS Regions,Region 9,2017,47,2.18812,1.96382,305,251,NA,443,137,157,1293,210,65841,2017-11-20
HHS Regions,Region 10,2017,47,1.25088,1.69106,213,172,NA,237,78,74,774,151,45770,2017-11-20
HHS Regions,Region 1,2017,48,1.54422,1.33125,214,143,NA,309,75,61,802,146,60244,2017-11-27
HHS Regions,Region 2,2017,48,2.97265,2.06287,1276,496,NA,875,257,202,3106,181,150567,2017-11-27
HHS Regions,Region 3,2017,48,1.60673,1.88811,1191,894,NA,1118,334,229,3766,363,199459,2017-11-27
HHS Regions,Region 4,2017,48,2.23681,2.93354,1515,1200,NA,1634,483,317,5149,385,175522,2017-11-27
HHS Regions,Region 5,2017,48,1.59973,1.62105,552,363,NA,684,123,175,1897,297,117023,2017-11-27
HHS Regions,Region 6,2017,48,4.61822,4.24095,1414,1344,NA,1515,530,402,5205,288,122732,2017-11-27
HHS Regions,Region 7,2017,48,1.47504,1.7391,148,85,NA,179,26,43,481,111,27658,2017-11-27
HHS Regions,Region 8,2017,48,0.949127,1.04322,160,143,NA,268,70,65,706,148,67675,2017-11-27
HHS Regions,Region 9,2017,48,2.17327,2.09664,346,394,NA,653,225,270,1888,218,90049,2017-11-27
HHS Regions,Region 10,2017,48,1.20543,1.6102,200,191,NA,247,88,70,796,147,49435,2017-11-27
HHS Regions,Region 1,2017,49,1.66318,1.50307,269,109,NA,433,52,55,918,146,61075,2017-12-04
HHS Regions,Region 2,2017,49,3.15216,2.62988,1634,589,NA,1098,286,223,3830,180,145634,2017-12-04
HHS Regions,Region 3,2017,49,1.6323,1.8981,997,842,NA,1051,355,283,3528,357,185870,2017-12-04
HHS Regions,Region 4,2017,49,2.5325,3.24655,1378,1070,NA,1850,459,318,5075,388,156320,2017-12-04
HHS Regions,Region 5,2017,49,1.92288,1.88726,617,417,NA,786,208,168,2196,303,116359,2017-12-04
HHS Regions,Region 6,2017,49,5.14474,4.59628,1374,1204,NA,1768,522,361,5229,285,113766,2017-12-04
HHS Regions,Region 7,2017,49,2.05556,2.15962,167,118,NA,252,41,33,611,116,28292,2017-12-04
HHS Regions,Region 8,2017,49,1.13022,1.10996,209,138,NA,281,86,58,772,146,69552,2017-12-04
HHS Regions,Region 9,2017,49,2.61362,2.42799,397,372,NA,695,235,302,2001,213,82414,2017-12-04
HHS Regions,Region 10,2017,49,1.11517,1.90156,191,200,NA,286,96,63,836,144,43964,2017-12-04
HHS Regions,Region 1,2017,50,1.80378,1.6305,295,129,NA,394,86,45,949,145,58203,2017-12-11
HHS Regions,Region 2,2017,50,3.59161,2.83291,1515,620,NA,1263,303,240,3941,177,139115,2017-12-11
