"","REGION.TYPE","REGION","YEAR","WEEK","X..WEIGHTED.ILI","X.UNWEIGHTED.ILI","AGE.0.4","AGE.25.49","AGE.25.64","AGE.5.24","AGE.50.64","AGE.65","ILITOTAL","NUM..OF.PROVIDERS","TOTAL.PATIENTS"
"55","HHS Regions","Region 5",2015,45,1.30497,1.44344,508,289,,635,131,97,1660,291,115003
"56","HHS Regions","Region 6",2015,45,3.46367,2.64748,728,590,,963,208,109,2598,263,98131
"57","HHS Regions","Region 7",2015,45,1.20878,1.26729,78,67,,107,22,10,284,81,22410
"58","HHS Regions","Region 8",2015,45,0.744407,1.11605,124,93,,190,35,15,457,120,40948
"59","HHS Regions","Region 9",2015,45,1.78976,1.71332,312,210,,526,113,169,1330,260,77627
"60","HHS Regions","Region 10",2015,45,0.891904,0.98457,32,22,,51,11,18,134,80,13610
"61","HHS Regions","Region 1",2015,46,0.736201,0.667117,89,55,,174,14,14,346,139,51865
"62","HHS Regions","Region 2",2015,46,1.3633,1.64908,862,302,,664,106,91,2025,189,122796
"63","HHS Regions","Region 3",2015,46,1.72001,1.79133,625,571,,961,184,127,2468,281,137775
"64","HHS Regions","Region 4",2015,46,1.33627,1.4355,618,394,,795,145,92,2044,319,142389
"65","HHS Regions","Region 5",2015,46,1.24789,1.37264,479,306,,547,134,91,1557,289,113431
"66","HHS Regions","Region 6",2015,46,3.44926,2.67257,677,597,,966,262,149,2651,265,99193
"67","HHS Regions","Region 7",2015,46,1.05016,1.15463,63,64,,91,18,19,255,80,22085
"68","HHS Regions","Region 8",2015,46,0.776688,1.05763,122,107,,171,25,9,434,119,41035
"69","HHS Regions","Region 9",2015,46,2.04532,1.89271,370,236,,670,127,171,1574,260,83161
"70","HHS Regions","Region 10",2015,46,0.694108,0.771738,47,26,,28,10,5,116,86,15031
"71","HHS Regions","Region 1",2015,47,0.954736,0.789195,77,39,,107,13,17,253,134,32058
"72","HHS Regions","Region 2",2015,47,1.35069,1.79388,894,274,,563,116,82,1929,190,107532
"73","HHS Regions","Region 3",2015,47,2.17414,2.0787,721,519,,907,182,127,2456,283,118151
"74","HHS Regions","Region 4",2015,47,1.67671,1.73778,599,342,,559,126,89,1715,309,98689
"75","HHS Regions","Region 5",2015,47,1.43269,1.52496,398,251,,441,133,66,1289,284,84527
"76","HHS Regions","Region 6",2015,47,4.21557,3.13439,738,602,,799,258,149,2546,270,81228
"77","HHS Regions","Region 7",2015,47,1.31092,1.43597,48,63,,66,18,13,208,78,14485
"78","HHS Regions","Region 8",2015,47,0.997922,1.50242,149,86,,197,39,19,490,120,32614
"79","HHS Regions","Region 9",2015,47,2.3103,2.09505,304,232,,391,86,138,1151,255,54939
"80","HHS Regions","Region 10",2015,47,0.82039,0.998143,31,18,,24,10,3,86,79,8616
"81","HHS Regions","Region 1",2015,48,0.807851,0.772896,117,54,,183,33,12,399,148,51624
"82","HHS Regions","Region 2",2015,48,1.57092,1.98748,1164,333,,835,146,81,2559,199,128756
"83","HHS Regions","Region 3",2015,48,1.83996,1.94492,780,712,,927,220,131,2770,290,142422
"84","HHS Regions","Region 4",2015,48,1.38019,1.49181,608,463,,736,179,100,2086,314,139830
"85","HHS Regions","Region 5",2015,48,1.14728,1.34651,473,285,,564,139,88,1549,292,115038
"86","HHS Regions","Region 6",2015,48,3.90919,2.90046,733,713,,908,288,180,2822,271,97295
"87","HHS Regions","Region 7",2015,48,0.95359,1.05228,49,53,,85,23,12,222,78,21097
"88","HHS Regions","Region 8",2015,48,0.725679,1.01152,114,82,,171,39,19,425,121,42016
"89","HHS Regions","Region 9",2015,48,2.00403,1.92103,369,293,,623,157,197,1639,252,85319
"90","HHS Regions","Region 10",2015,48,0.812498,0.923988,52,20,,39,8,9,128,81,13853
"91","HHS Regions","Region 1",2015,49,0.975831,0.837658,115,63,,210,22,21,431,150,51453
"92","HHS Regions","Region 2",2015,49,1.86092,2.19425,1317,347,,935,153,82,2834,194,129156
"93","HHS Regions","Region 3",2015,49,2.02023,2.07605,788,686,,1068,206,161,2909,289,140122
"94","HHS Regions","Region 4",2015,49,1.39325,1.56711,591,428,,754,175,98,2046,301,130559
"95","HHS Regions","Region 5",2015,49,1.38412,1.52446,487,291,,669,172,116,1735,294,113811
"96","HHS Regions","Region 6",2015,49,4.00152,2.83286,731,681,,814,299,152,2677,260,94498
"97","HHS Regions","Region 7",2015,49,0.912263,1.02175,54,51,,72,15,18,210,80,20553
"98","HHS Regions","Region 8",2015,49,0.891982,1.1021,134,89,,186,32,24,465,121,42192
"99","HHS Regions","Region 9",2015,49,2.0343,1.95267,341,252,,638,171,197,1599,251,81888
"100","HHS Regions","Region 10",2015,49,0.594886,0.6004,32,12,,27,6,4,81,85,13491
"101","HHS Regions","Region 1",2015,50,1.03668,0.838048,119,61,,173,24,20,397,142,47372
"102","HHS Regions","Region 2",2015,50,1.74541,2.28485,1382,375,,887,157,108,2909,200,127317
"103","HHS Regions","Region 3",2015,50,2.27837,2.28721,960,689,,1084,253,179,3165,289,138378
"104","HHS Regions","Region 4",2015,50,1.54031,1.77438,682,406,,852,178,129,2247,302,126636
"105","HHS Regions","Region 5",2015,50,1.45376,1.57014,495,303,,581,152,94,1625,289,103494
"106","HHS Regions","Region 6",2015,50,4.07757,3.01191,790,694,,730,278,178,2670,252,88648
"107","HHS Regions","Region 7",2015,50,1.19874,1.25181,59,63,,90,20,10,242,81,19332
"108","HHS Regions","Region 8",2015,50,0.895779,1.31136,166,83,,208,31,26,514,119,39196
"109","HHS Regions","Region 9",2015,50,2.12648,2.02699,421,264,,459,154,189,1487,242,73360
"110","HHS Regions","Region 10",2015,50,0.658719,0.703319,37,12,,26,4,3,82,79,11659
"111","HHS Regions","Region 1",2015,51,1.38302,1.10902,117,42,,120,20,19,318,134,28674
"112","HHS Regions","Region 2",2015,51,2.29498,2.74702,1520,343,,803,130,129,2925,202,106479
"113","HHS Regions","Region 3",2015,51,2.81511,2.69939,1054,738,,945,278,178,3193,274,118286
"114","HHS Regions","Region 4",2015,51,1.91839,2.18076,672,418,,732,186,131,2139,302,98085
"115","HHS Regions","Region 5",2015,51,1.8247,2.00971,562,250,,429,158,116,1515,284,75384
"116","HHS Regions","Region 6",2015,51,4.54338,3.31835,796,675,,682,256,190,2599,261,78322
"117","HHS Regions","Region 7",2015,51,1.39056,1.40241,51,49,,51,20,12,183,80,13049
"118","HHS Regions","Region 8",2015,51,1.15229,1.58047,142,123,,170,41,27,503,119,31826
"119","HHS Regions","Region 9",2015,51,2.80184,2.59693,418,228,,352,158,195,1351,245,52023
"120","HHS Regions","Region 10",2015,51,0.66188,0.623279,23,5,,13,1,1,43,80,6899
"121","HHS Regions","Region 1",2015,52,1.59869,1.27352,122,55,,128,27,20,352,133,27640
"122","HHS Regions","Region 2",2015,52,2.30133,2.94139,1723,434,,787,150,135,3229,195,109778
"123","HHS Regions","Region 3",2015,52,2.97706,2.64344,1172,781,,857,349,267,3426,277,129604
"124","HHS Regions","Region 4",2015,52,1.79477,1.89454,660,434,,646,222,147,2109,300,111320
"125","HHS Regions","Region 5",2015,52,1.73198,1.89697,545,279,,367,162,124,1477,283,77861
"126","HHS Regions","Region 6",2015,52,4.98502,3.34345,804,798,,601,363,222,2788,256,83387
"127","HHS Regions","Region 7",2015,52,1.55082,1.54091,40,60,,52,18,24,194,79,12590
"128","HHS Regions","Region 8",2015,52,1.51137,1.81598,181,148,,176,55,39,599,118,32985
"129","HHS Regions","Region 9",2015,52,3.03653,2.64945,407,260,,368,160,190,1385,230,52275
"130","HHS Regions","Region 10",2015,52,0.791975,0.787498,27,8,,18,10,1,64,81,8127
"131","HHS Regions","Region 1",2016,1,1.32779,1.04943,141,95,,154,40,25,455,138,43357
"132","HHS Regions","Region 2",2016,1,1.77591,2.36206,1266,475,,760,224,145,2870,195,121504
"133","HHS Regions","Region 3",2016,1,2.38365,2.26008,827,833,,891,314,188,3053,281,135084
"134","HHS Regions","Region 4",2016,1,1.42303,1.56235,617,472,,657,201,134,2081,318,133197
"135","HHS Regions","Region 5",2016,1,1.40186,1.65784,554,338,,508,191,134,1725,287,104051
"136","HHS Regions","Region 6",2016,1,4.10939,2.93999,655,754,,653,345,213,2620,257,89116
"137","HHS Regions","Region 7",2016,1,1.41906,1.42283,62,83,,55,34,21,255,74,17922
"138","HHS Regions","Region 8",2016,1,1.11457,1.30388,146,112,,200,46,26,530,118,40648
"139","HHS Regions","Region 9",2016,1,2.42695,2.32445,462,389,,577,222,261,1911,254,82213
"140","HHS Regions","Region 10",2016,1,0.888661,1.03464,38,42,,30,14,11,135,83,13048
"141","HHS Regions","Region 1",2016,2,1.40757,1.12967,155,86,,196,29,25,491,137,43464
"142","HHS Regions","Region 2",2016,2,2.37764,2.33214,1070,485,,904,211,143,2813,201,120619
"143","HHS Regions","Region 3",2016,2,2.32746,2.17537,766,709,,948,252,181,2856,279,131288
"144","HHS Regions","Region 4",2016,2,1.52679,1.5929,578,429,,822,202,132,2163,324,135790
"145","HHS Regions","Region 5",2016,2,1.35927,1.69674,544,307,,573,156,106,1686,283,99367
"146","HHS Regions","Region 6",2016,2,3.82311,2.93962,755,586,,819,249,140,2549,259,86712
"147","HHS Regions","Region 7",2016,2,1.1452,1.14412,37,58,,78,26,19,218,78,19054
"148","HHS Regions","Region 8",2016,2,1.1948,1.56855,187,145,,227,50,31,640,118,40802
"149","HHS Regions","Region 9",2016,2,2.40393,2.29848,415,332,,726,172,227,1872,244,81445
"150","HHS Regions","Region 10",2016,2,1.07718,1.19299,52,26,,55,24,7,164,83,13747
"151","HHS Regions","Region 1",2016,3,1.51447,1.23407,184,75,,193,30,34,516,139,41813
"152","HHS Regions","Region 2",2016,3,2.18428,2.37471,1048,505,,829,212,132,2726,205,114793
"153","HHS Regions","Region 3",2016,3,2.28403,2.1224,655,597,,758,218,118,2346,280,110535
"154","HHS Regions","Region 4",2016,3,1.79656,1.81776,610,434,,890,174,103,2211,313,121633
"155","HHS Regions","Region 5",2016,3,1.40448,1.69578,570,346,,598,159,116,1789,289,105497
"156","HHS Regions","Region 6",2016,3,4.07882,3.20352,899,718,,908,259,179,2963,261,92492
"157","HHS Regions","Region 7",2016,3,1.15409,1.179,66,41,,93,12,13,225,79,19084
"158","HHS Regions","Region 8",2016,3,1.223,1.65321,199,135,,244,41,26,645,121,39015
"159","HHS Regions","Region 9",2016,3,2.64512,2.54335,479,323,,765,168,223,1958,236,76985
"160","HHS Regions","Region 10",2016,3,1.3789,1.40265,50,31,,62,18,6,167,78,11906
"161","HHS Regions","Region 1",2016,4,1.70551,1.39793,210,90,,321,44,22,687,142,49144
"162","HHS Regions","Region 2",2016,4,2.32815,2.5876,1128,587,,1143,253,144,3255,206,125792
"163","HHS Regions","Region 3",2016,4,2.23747,1.98983,728,641,,857,232,136,2594,291,130363
"164","HHS Regions","Region 4",2016,4,1.88048,1.88114,659,502,,1209,175,130,2675,320,142201
"165","HHS Regions","Region 5",2016,4,1.41707,1.77063,606,367,,708,170,113,1964,288,110921
"166","HHS Regions","Region 6",2016,4,4.49916,3.30098,898,730,,1153,329,186,3296,261,99849
"167","HHS Regions","Region 7",2016,4,1.175,1.2446,54,66,,114,22,12,268,81,21533
"168","HHS Regions","Region 8",2016,4,1.27726,1.81098,214,171,,310,47,22,764,118,42187
"169","HHS Regions","Region 9",2016,4,2.82762,2.69943,522,412,,941,256,235,2366,241,87648
"170","HHS Regions","Region 10",2016,4,1.41403,1.50403,55,37,,92,23,4,211,80,14029
"171","HHS Regions","Region 1",2016,5,1.80717,1.54752,245,95,,321,54,21,736,143,47560
"172","HHS Regions","Region 2",2016,5,2.50124,2.74937,1104,714,,1331,277,133,3559,209,129448
"173","HHS Regions","Region 3",2016,5,1.97779,1.79151,550,582,,780,236,127,2275,279,126988
"174","HHS Regions","Region 4",2016,5,2.08757,1.95468,639,580,,1187,205,127,2738,312,140074
"175","HHS Regions","Region 5",2016,5,1.55406,1.95874,692,385,,808,168,108,2161,279,110326
"176","HHS Regions","Region 6",2016,5,4.44789,3.34855,918,732,,1091,342,204,3287,262,98162
