component_model_id,season,Model Week,location,target,weight
Historical Average,2012/2013,44,HHS Region 1,1 wk ahead,0.000165645805496227
Subtype Historical Average,2012/2013,44,HHS Region 1,1 wk ahead,0.999834354194504
Historical Average,2013/2014,44,HHS Region 1,1 wk ahead,0.00114747063814337
Subtype Historical Average,2013/2014,44,HHS Region 1,1 wk ahead,0.998852529361857
Historical Average,2014/2015,44,HHS Region 1,1 wk ahead,0.999904381734031
Subtype Historical Average,2014/2015,44,HHS Region 1,1 wk ahead,9.56182659690391e-05
Historical Average,2015/2016,44,HHS Region 1,1 wk ahead,0.00105427482857499
Subtype Historical Average,2015/2016,44,HHS Region 1,1 wk ahead,0.998945725171425
Historical Average,2016/2017,44,HHS Region 1,1 wk ahead,0.00073913481339808
Subtype Historical Average,2016/2017,44,HHS Region 1,1 wk ahead,0.999260865186602
Historical Average,2017/2018,44,HHS Region 1,1 wk ahead,0.000238984001726244
Subtype Historical Average,2017/2018,44,HHS Region 1,1 wk ahead,0.999761015998274
Historical Average,2010/2011,45,HHS Region 1,1 wk ahead,0.999590179531066
Subtype Historical Average,2010/2011,45,HHS Region 1,1 wk ahead,0.00040982046893415
Historical Average,2011/2012,45,HHS Region 1,1 wk ahead,0.998774037633176
Subtype Historical Average,2011/2012,45,HHS Region 1,1 wk ahead,0.00122596236682359
Historical Average,2012/2013,45,HHS Region 1,1 wk ahead,0.999139451919796
Subtype Historical Average,2012/2013,45,HHS Region 1,1 wk ahead,0.000860548080203538
Historical Average,2013/2014,45,HHS Region 1,1 wk ahead,0.999844392387762
Subtype Historical Average,2013/2014,45,HHS Region 1,1 wk ahead,0.00015560761223768
Historical Average,2014/2015,45,HHS Region 1,1 wk ahead,0.999924874699116
Subtype Historical Average,2014/2015,45,HHS Region 1,1 wk ahead,7.51253008835415e-05
Historical Average,2015/2016,45,HHS Region 1,1 wk ahead,0.999846428612567
Subtype Historical Average,2015/2016,45,HHS Region 1,1 wk ahead,0.000153571387433225
Historical Average,2016/2017,45,HHS Region 1,1 wk ahead,0.999820494022924
