component_model_id,season,target,weight
Dynamic Harmonic Model,2013/2014,2 wk ahead,0.951697194619332
Dynamic Harmonic Model,2013/2014,3 wk ahead,0.951697194619332
Dynamic Harmonic Model,2013/2014,4 wk ahead,0.951697194619332
Historical Average,2013/2014,1 wk ahead,0.0155082567723749
Historical Average,2013/2014,2 wk ahead,0.0155082567723749
Historical Average,2013/2014,3 wk ahead,0.0155082567723749
Historical Average,2013/2014,4 wk ahead,0.0155082567723749
Subtype Historical Average,2013/2014,1 wk ahead,0.0327945486082927
Subtype Historical Average,2013/2014,2 wk ahead,0.0327945486082927
Subtype Historical Average,2013/2014,3 wk ahead,0.0327945486082927
Subtype Historical Average,2013/2014,4 wk ahead,0.0327945486082927
Dynamic Harmonic Model,2014/2015,1 wk ahead,0.958737865339971
Dynamic Harmonic Model,2014/2015,2 wk ahead,0.958737865339971
Dynamic Harmonic Model,2014/2015,3 wk ahead,0.958737865339971
Dynamic Harmonic Model,2014/2015,4 wk ahead,0.958737865339971
Historical Average,2014/2015,1 wk ahead,0.0215762768023709
Historical Average,2014/2015,2 wk ahead,0.0215762768023709
Historical Average,2014/2015,3 wk ahead,0.0215762768023709
Historical Average,2014/2015,4 wk ahead,0.0215762768023709
Subtype Historical Average,2014/2015,1 wk ahead,0.0196858578576578
Subtype Historical Average,2014/2015,2 wk ahead,0.0196858578576578
Subtype Historical Average,2014/2015,3 wk ahead,0.0196858578576578
Subtype Historical Average,2014/2015,4 wk ahead,0.0196858578576578
Dynamic Harmonic Model,2015/2016,1 wk ahead,0.947494807957939
Dynamic Harmonic Model,2015/2016,2 wk ahead,0.947494807957939
Dynamic Harmonic Model,2015/2016,3 wk ahead,0.947494807957939
Dynamic Harmonic Model,2015/2016,4 wk ahead,0.947494807957939
Historical Average,2015/2016,1 wk ahead,0.0217542026635177
Historical Average,2015/2016,2 wk ahead,0.0217542026635177
Historical Average,2015/2016,3 wk ahead,0.0217542026635177
Historical Average,2015/2016,4 wk ahead,0.0217542026635177
Subtype Historical Average,2015/2016,1 wk ahead,0.0307509893785433
Subtype Historical Average,2015/2016,2 wk ahead,0.0307509893785433
Subtype Historical Average,2015/2016,3 wk ahead,0.0307509893785433
Subtype Historical Average,2015/2016,4 wk ahead,0.0307509893785433
Dynamic Harmonic Model,2016/2017,1 wk ahead,0.950954321923215
Dynamic Harmonic Model,2016/2017,2 wk ahead,0.950954321923215
Dynamic Harmonic Model,2016/2017,3 wk ahead,0.950954321923215
Dynamic Harmonic Model,2016/2017,4 wk ahead,0.950954321923215
Historical Average,2016/2017,1 wk ahead,0.0250839040144733
Historical Average,2016/2017,2 wk ahead,0.0250839040144733
Historical Average,2016/2017,3 wk ahead,0.0250839040144733
Historical Average,2016/2017,4 wk ahead,0.0250839040144733
Subtype Historical Average,2016/2017,1 wk ahead,0.0239617740623119
Subtype Historical Average,2016/2017,2 wk ahead,0.0239617740623119
Subtype Historical Average,2016/2017,3 wk ahead,0.0239617740623119
Subtype Historical Average,2016/2017,4 wk ahead,0.0239617740623119
Dynamic Harmonic Model,2017/2018,1 wk ahead,0.956505226054657
Dynamic Harmonic Model,2017/2018,2 wk ahead,0.956505226054657
Dynamic Harmonic Model,2017/2018,3 wk ahead,0.956505226054657
Dynamic Harmonic Model,2017/2018,4 wk ahead,0.956505226054657
Historical Average,2017/2018,1 wk ahead,0.0292584056305423
Historical Average,2017/2018,2 wk ahead,0.0292584056305423
Historical Average,2017/2018,3 wk ahead,0.0292584056305423
Historical Average,2017/2018,4 wk ahead,0.0292584056305423
Subtype Historical Average,2017/2018,1 wk ahead,0.0142363683148006
Subtype Historical Average,2017/2018,2 wk ahead,0.0142363683148006
Subtype Historical Average,2017/2018,3 wk ahead,0.0142363683148006
Subtype Historical Average,2017/2018,4 wk ahead,0.0142363683148006
Dynamic Harmonic Model,2018/2019,1 wk ahead,0.943315243681689
Dynamic Harmonic Model,2018/2019,2 wk ahead,0.943315243681689
Dynamic Harmonic Model,2018/2019,3 wk ahead,0.943315243681689
Dynamic Harmonic Model,2018/2019,4 wk ahead,0.943315243681689
Historical Average,2018/2019,1 wk ahead,0.0139105002218791
Historical Average,2018/2019,2 wk ahead,0.0139105002218791
Historical Average,2018/2019,3 wk ahead,0.0139105002218791
Historical Average,2018/2019,4 wk ahead,0.0139105002218791
Subtype Historical Average,2018/2019,1 wk ahead,0.042774256096432
Subtype Historical Average,2018/2019,2 wk ahead,0.042774256096432
Subtype Historical Average,2018/2019,3 wk ahead,0.042774256096432
Subtype Historical Average,2018/2019,4 wk ahead,0.042774256096432
Dynamic Harmonic Model,2019/2020,Season onset,0.792286341358247
Dynamic Harmonic Model,2019/2020,Season peak week,0.792286341358247
Dynamic Harmonic Model,2019/2020,Season peak percentage,0.792286341358247
Historical Average,2019/2020,Season onset,9.44002873983557e-05
Historical Average,2019/2020,Season peak week,9.44002873983557e-05
Historical Average,2019/2020,Season peak percentage,9.44002873983557e-05
Subtype Historical Average,2019/2020,Season onset,0.207619258354354
Subtype Historical Average,2019/2020,Season peak week,0.207619258354354
Subtype Historical Average,2019/2020,Season peak percentage,0.207619258354354
Dynamic Harmonic Model,2019/2020,1 wk ahead,0.950922284061067
Dynamic Harmonic Model,2019/2020,2 wk ahead,0.950922284061067
Dynamic Harmonic Model,2019/2020,3 wk ahead,0.950922284061067
Dynamic Harmonic Model,2019/2020,4 wk ahead,0.950922284061067
Historical Average,2019/2020,1 wk ahead,0.0238030528401967
Historical Average,2019/2020,2 wk ahead,0.0238030528401967
Historical Average,2019/2020,3 wk ahead,0.0238030528401967
Historical Average,2019/2020,4 wk ahead,0.0238030528401967
Subtype Historical Average,2019/2020,1 wk ahead,0.0252746630987362
Subtype Historical Average,2019/2020,2 wk ahead,0.0252746630987362
Subtype Historical Average,2019/2020,3 wk ahead,0.0252746630987362
Subtype Historical Average,2019/2020,4 wk ahead,0.0252746630987362
