component_model_id,season,Model Week,location,weight
Historical Average,2017/2018,52,Delaware,2.94081226254125e-08
Subtype Historical Average,2017/2018,49,Delaware,9.21399437438247e-10
Subtype Historical Average,2017/2018,50,Delaware,9.21399437438247e-10
Subtype Historical Average,2017/2018,51,Delaware,9.21399437438247e-10
Subtype Historical Average,2017/2018,52,Delaware,9.21399437438247e-10
Dynamic Harmonic Model,2014/2015,53,Delaware,0.999999956091239
Dynamic Harmonic Model,2014/2015,54,Delaware,0.999999956091239
Dynamic Harmonic Model,2014/2015,55,Delaware,0.999999956091239
Dynamic Harmonic Model,2014/2015,56,Delaware,0.999999956091239
Historical Average,2014/2015,53,Delaware,3.4857015812508e-08
Historical Average,2014/2015,54,Delaware,3.4857015812508e-08
Historical Average,2014/2015,55,Delaware,3.4857015812508e-08
Historical Average,2014/2015,56,Delaware,3.4857015812508e-08
Subtype Historical Average,2014/2015,53,Delaware,9.05174497216404e-09
Subtype Historical Average,2014/2015,54,Delaware,9.05174497216404e-09
Subtype Historical Average,2014/2015,55,Delaware,9.05174497216404e-09
Subtype Historical Average,2014/2015,56,Delaware,9.05174497216404e-09
Dynamic Harmonic Model,2015/2016,53,Delaware,0.999988921493465
Dynamic Harmonic Model,2015/2016,54,Delaware,0.999988921493465
Dynamic Harmonic Model,2015/2016,55,Delaware,0.999988921493465
Dynamic Harmonic Model,2015/2016,56,Delaware,0.999988921493465
Historical Average,2015/2016,53,Delaware,1.05969978752266e-05
Historical Average,2015/2016,54,Delaware,1.05969978752266e-05
Historical Average,2015/2016,55,Delaware,1.05969978752266e-05
Historical Average,2015/2016,56,Delaware,1.05969978752266e-05
Subtype Historical Average,2015/2016,53,Delaware,4.81508659892719e-07
Subtype Historical Average,2015/2016,54,Delaware,4.81508659892719e-07
Subtype Historical Average,2015/2016,55,Delaware,4.81508659892719e-07
Subtype Historical Average,2015/2016,56,Delaware,4.81508659892719e-07
Dynamic Harmonic Model,2016/2017,53,Delaware,0.999998167535642
Dynamic Harmonic Model,2016/2017,54,Delaware,0.999998167535642
Dynamic Harmonic Model,2016/2017,55,Delaware,0.999998167535642
Dynamic Harmonic Model,2016/2017,56,Delaware,0.999998167535642
Historical Average,2016/2017,53,Delaware,1.76608486890648e-06
Historical Average,2016/2017,54,Delaware,1.76608486890648e-06
Historical Average,2016/2017,55,Delaware,1.76608486890648e-06
Historical Average,2016/2017,56,Delaware,1.76608486890648e-06
Subtype Historical Average,2016/2017,53,Delaware,6.63794886517737e-08
Subtype Historical Average,2016/2017,54,Delaware,6.63794886517737e-08
Subtype Historical Average,2016/2017,55,Delaware,6.63794886517737e-08
Subtype Historical Average,2016/2017,56,Delaware,6.63794886517737e-08
Dynamic Harmonic Model,2017/2018,53,Delaware,0.999999932902564
Dynamic Harmonic Model,2017/2018,54,Delaware,0.999999932902564
Dynamic Harmonic Model,2017/2018,55,Delaware,0.999999932902564
Dynamic Harmonic Model,2017/2018,56,Delaware,0.999999932902564
Historical Average,2017/2018,53,Delaware,4.06167147507085e-08
Historical Average,2017/2018,54,Delaware,4.06167147507085e-08
Historical Average,2017/2018,55,Delaware,4.06167147507085e-08
Historical Average,2017/2018,56,Delaware,4.06167147507085e-08
Subtype Historical Average,2017/2018,53,Delaware,2.6480721272285e-08
Subtype Historical Average,2017/2018,54,Delaware,2.6480721272285e-08
Subtype Historical Average,2017/2018,55,Delaware,2.6480721272285e-08
Subtype Historical Average,2017/2018,56,Delaware,2.6480721272285e-08
Dynamic Harmonic Model,2014/2015,57,Delaware,0.825920452110683
Dynamic Harmonic Model,2014/2015,58,Delaware,0.825920452110683
Dynamic Harmonic Model,2014/2015,59,Delaware,0.825920452110683
Dynamic Harmonic Model,2014/2015,60,Delaware,0.825920452110683
Historical Average,2014/2015,57,Delaware,4.2060446794107e-05
Historical Average,2014/2015,58,Delaware,4.2060446794107e-05
Historical Average,2014/2015,59,Delaware,4.2060446794107e-05
Historical Average,2014/2015,60,Delaware,4.2060446794107e-05
Subtype Historical Average,2014/2015,57,Delaware,0.174037487442523
Subtype Historical Average,2014/2015,58,Delaware,0.174037487442523
Subtype Historical Average,2014/2015,59,Delaware,0.174037487442523
Subtype Historical Average,2014/2015,60,Delaware,0.174037487442523
Dynamic Harmonic Model,2015/2016,57,Delaware,0.954502961306776
Dynamic Harmonic Model,2015/2016,58,Delaware,0.954502961306776
Dynamic Harmonic Model,2015/2016,59,Delaware,0.954502961306776
Dynamic Harmonic Model,2015/2016,60,Delaware,0.954502961306776
Historical Average,2015/2016,57,Delaware,7.8315681007558e-05
Historical Average,2015/2016,58,Delaware,7.8315681007558e-05
Historical Average,2015/2016,59,Delaware,7.8315681007558e-05
Historical Average,2015/2016,60,Delaware,7.8315681007558e-05
Subtype Historical Average,2015/2016,57,Delaware,0.0454187230122166
Subtype Historical Average,2015/2016,58,Delaware,0.0454187230122166
Subtype Historical Average,2015/2016,59,Delaware,0.0454187230122166
Subtype Historical Average,2015/2016,60,Delaware,0.0454187230122166
Dynamic Harmonic Model,2016/2017,57,Delaware,0.79343087607896
Dynamic Harmonic Model,2016/2017,58,Delaware,0.79343087607896
Dynamic Harmonic Model,2016/2017,59,Delaware,0.79343087607896
Dynamic Harmonic Model,2016/2017,60,Delaware,0.79343087607896
Historical Average,2016/2017,57,Delaware,3.20738687936837e-06
Historical Average,2016/2017,58,Delaware,3.20738687936837e-06
Historical Average,2016/2017,59,Delaware,3.20738687936837e-06
Historical Average,2016/2017,60,Delaware,3.20738687936837e-06
Subtype Historical Average,2016/2017,57,Delaware,0.20656591653416
Subtype Historical Average,2016/2017,58,Delaware,0.20656591653416
Subtype Historical Average,2016/2017,59,Delaware,0.20656591653416
Subtype Historical Average,2016/2017,60,Delaware,0.20656591653416
Dynamic Harmonic Model,2017/2018,57,Delaware,0.88610876142663
Dynamic Harmonic Model,2017/2018,58,Delaware,0.88610876142663
Dynamic Harmonic Model,2017/2018,59,Delaware,0.88610876142663
Dynamic Harmonic Model,2017/2018,60,Delaware,0.88610876142663
Historical Average,2017/2018,57,Delaware,2.48314022514185e-06
Historical Average,2017/2018,58,Delaware,2.48314022514185e-06
Historical Average,2017/2018,59,Delaware,2.48314022514185e-06
Historical Average,2017/2018,60,Delaware,2.48314022514185e-06
Subtype Historical Average,2017/2018,57,Delaware,0.113888755433145
Subtype Historical Average,2017/2018,58,Delaware,0.113888755433145
Subtype Historical Average,2017/2018,59,Delaware,0.113888755433145
Subtype Historical Average,2017/2018,60,Delaware,0.113888755433145
Dynamic Harmonic Model,2014/2015,61,Delaware,0.999999886661998
Dynamic Harmonic Model,2014/2015,62,Delaware,0.999999886661998
Dynamic Harmonic Model,2014/2015,63,Delaware,0.999999886661998
Dynamic Harmonic Model,2014/2015,64,Delaware,0.999999886661998
Historical Average,2014/2015,61,Delaware,3.78617985540322e-08
Historical Average,2014/2015,62,Delaware,3.78617985540322e-08
Historical Average,2014/2015,63,Delaware,3.78617985540322e-08
Historical Average,2014/2015,64,Delaware,3.78617985540322e-08
Subtype Historical Average,2014/2015,61,Delaware,7.54762030517927e-08
Subtype Historical Average,2014/2015,62,Delaware,7.54762030517927e-08
Subtype Historical Average,2014/2015,63,Delaware,7.54762030517927e-08
Subtype Historical Average,2014/2015,64,Delaware,7.54762030517927e-08
Dynamic Harmonic Model,2015/2016,61,Delaware,0.999999926539247
Dynamic Harmonic Model,2015/2016,62,Delaware,0.999999926539247
Dynamic Harmonic Model,2015/2016,63,Delaware,0.999999926539247
Dynamic Harmonic Model,2015/2016,64,Delaware,0.999999926539247
Historical Average,2015/2016,61,Delaware,3.66243235135639e-09
Historical Average,2015/2016,62,Delaware,3.66243235135639e-09
Historical Average,2015/2016,63,Delaware,3.66243235135639e-09
Historical Average,2015/2016,64,Delaware,3.66243235135639e-09
Subtype Historical Average,2015/2016,61,Delaware,6.97983203758851e-08
Subtype Historical Average,2015/2016,62,Delaware,6.97983203758851e-08
Subtype Historical Average,2015/2016,63,Delaware,6.97983203758851e-08
Subtype Historical Average,2015/2016,64,Delaware,6.97983203758851e-08
Dynamic Harmonic Model,2016/2017,61,Delaware,0.999999833802462
Dynamic Harmonic Model,2016/2017,62,Delaware,0.999999833802462
Dynamic Harmonic Model,2016/2017,63,Delaware,0.999999833802462
Dynamic Harmonic Model,2016/2017,64,Delaware,0.999999833802462
Historical Average,2016/2017,61,Delaware,1.15844543502016e-09
Historical Average,2016/2017,62,Delaware,1.15844543502016e-09
Historical Average,2016/2017,63,Delaware,1.15844543502016e-09
Historical Average,2016/2017,64,Delaware,1.15844543502016e-09
Subtype Historical Average,2016/2017,61,Delaware,1.65039092208589e-07
Subtype Historical Average,2016/2017,62,Delaware,1.65039092208589e-07
Subtype Historical Average,2016/2017,63,Delaware,1.65039092208589e-07
Subtype Historical Average,2016/2017,64,Delaware,1.65039092208589e-07
Dynamic Harmonic Model,2017/2018,61,Delaware,0.999999920574383
Dynamic Harmonic Model,2017/2018,62,Delaware,0.999999920574383
Dynamic Harmonic Model,2017/2018,63,Delaware,0.999999920574383
Dynamic Harmonic Model,2017/2018,64,Delaware,0.999999920574383
Historical Average,2017/2018,61,Delaware,3.32865405511887e-09
Historical Average,2017/2018,62,Delaware,3.32865405511887e-09
Historical Average,2017/2018,63,Delaware,3.32865405511887e-09
Historical Average,2017/2018,64,Delaware,3.32865405511887e-09
Subtype Historical Average,2017/2018,61,Delaware,7.60969624581032e-08
Subtype Historical Average,2017/2018,62,Delaware,7.60969624581032e-08
Subtype Historical Average,2017/2018,63,Delaware,7.60969624581032e-08
Subtype Historical Average,2017/2018,64,Delaware,7.60969624581032e-08
Dynamic Harmonic Model,2014/2015,65,Delaware,0.999999983350425
Dynamic Harmonic Model,2014/2015,66,Delaware,0.999999983350425
Dynamic Harmonic Model,2014/2015,67,Delaware,0.999999983350425
Dynamic Harmonic Model,2014/2015,68,Delaware,0.999999983350425
Historical Average,2014/2015,65,Delaware,1.09976264999739e-08
Historical Average,2014/2015,66,Delaware,1.09976264999739e-08
Historical Average,2014/2015,67,Delaware,1.09976264999739e-08
Historical Average,2014/2015,68,Delaware,1.09976264999739e-08
Subtype Historical Average,2014/2015,65,Delaware,5.65194896022176e-09
Subtype Historical Average,2014/2015,66,Delaware,5.65194896022176e-09
Subtype Historical Average,2014/2015,67,Delaware,5.65194896022176e-09
Subtype Historical Average,2014/2015,68,Delaware,5.65194896022176e-09
Dynamic Harmonic Model,2015/2016,65,Delaware,0.999999976965719
Dynamic Harmonic Model,2015/2016,66,Delaware,0.999999976965719
Dynamic Harmonic Model,2015/2016,67,Delaware,0.999999976965719
Dynamic Harmonic Model,2015/2016,68,Delaware,0.999999976965719
Historical Average,2015/2016,65,Delaware,1.60010987904854e-08
Historical Average,2015/2016,66,Delaware,1.60010987904854e-08
Historical Average,2015/2016,67,Delaware,1.60010987904854e-08
Historical Average,2015/2016,68,Delaware,1.60010987904854e-08
Subtype Historical Average,2015/2016,65,Delaware,7.03318255243182e-09
Subtype Historical Average,2015/2016,66,Delaware,7.03318255243182e-09
Subtype Historical Average,2015/2016,67,Delaware,7.03318255243182e-09
Subtype Historical Average,2015/2016,68,Delaware,7.03318255243182e-09
Dynamic Harmonic Model,2016/2017,65,Delaware,0.999999986070834
Dynamic Harmonic Model,2016/2017,66,Delaware,0.999999986070834
Dynamic Harmonic Model,2016/2017,67,Delaware,0.999999986070834
Dynamic Harmonic Model,2016/2017,68,Delaware,0.999999986070834
Historical Average,2016/2017,65,Delaware,9.0352004392396e-09
Historical Average,2016/2017,66,Delaware,9.0352004392396e-09
Historical Average,2016/2017,67,Delaware,9.0352004392396e-09
Historical Average,2016/2017,68,Delaware,9.0352004392396e-09
Subtype Historical Average,2016/2017,65,Delaware,4.89396569236425e-09
Subtype Historical Average,2016/2017,66,Delaware,4.89396569236425e-09
Subtype Historical Average,2016/2017,67,Delaware,4.89396569236425e-09
Subtype Historical Average,2016/2017,68,Delaware,4.89396569236425e-09
Dynamic Harmonic Model,2017/2018,65,Delaware,0.999999982570796
Dynamic Harmonic Model,2017/2018,66,Delaware,0.999999982570796
Dynamic Harmonic Model,2017/2018,67,Delaware,0.999999982570796
Dynamic Harmonic Model,2017/2018,68,Delaware,0.999999982570796
Historical Average,2017/2018,65,Delaware,1.04049953572126e-08
Historical Average,2017/2018,66,Delaware,1.04049953572126e-08
Historical Average,2017/2018,67,Delaware,1.04049953572126e-08
Historical Average,2017/2018,68,Delaware,1.04049953572126e-08
Subtype Historical Average,2017/2018,65,Delaware,7.02420818888399e-09
Subtype Historical Average,2017/2018,66,Delaware,7.02420818888399e-09
Subtype Historical Average,2017/2018,67,Delaware,7.02420818888399e-09
Subtype Historical Average,2017/2018,68,Delaware,7.02420818888399e-09
Dynamic Harmonic Model,2014/2015,69,Delaware,0.999999995118584
Dynamic Harmonic Model,2014/2015,70,Delaware,0.999999995118584
Dynamic Harmonic Model,2014/2015,71,Delaware,0.999999995118584
Dynamic Harmonic Model,2014/2015,72,Delaware,0.999999995118584
Historical Average,2014/2015,69,Delaware,2.37114904602622e-09
Historical Average,2014/2015,70,Delaware,2.37114904602622e-09
Historical Average,2014/2015,71,Delaware,2.37114904602622e-09
Historical Average,2014/2015,72,Delaware,2.37114904602622e-09
Subtype Historical Average,2014/2015,69,Delaware,2.51026707102709e-09
Subtype Historical Average,2014/2015,70,Delaware,2.51026707102709e-09
Subtype Historical Average,2014/2015,71,Delaware,2.51026707102709e-09
Subtype Historical Average,2014/2015,72,Delaware,2.51026707102709e-09
Dynamic Harmonic Model,2015/2016,69,Delaware,0.999999994033461
Dynamic Harmonic Model,2015/2016,70,Delaware,0.999999994033461
Dynamic Harmonic Model,2015/2016,71,Delaware,0.999999994033461
Dynamic Harmonic Model,2015/2016,72,Delaware,0.999999994033461
Historical Average,2015/2016,69,Delaware,3.79469611356889e-09
Historical Average,2015/2016,70,Delaware,3.79469611356889e-09
Historical Average,2015/2016,71,Delaware,3.79469611356889e-09
Historical Average,2015/2016,72,Delaware,3.79469611356889e-09
Subtype Historical Average,2015/2016,69,Delaware,2.171842647728e-09
Subtype Historical Average,2015/2016,70,Delaware,2.171842647728e-09
Subtype Historical Average,2015/2016,71,Delaware,2.171842647728e-09
Subtype Historical Average,2015/2016,72,Delaware,2.171842647728e-09
Dynamic Harmonic Model,2016/2017,69,Delaware,0.999999998784007
Dynamic Harmonic Model,2016/2017,70,Delaware,0.999999998784007
Dynamic Harmonic Model,2016/2017,71,Delaware,0.999999998784007
Dynamic Harmonic Model,2016/2017,72,Delaware,0.999999998784007
Historical Average,2016/2017,69,Delaware,7.24327667734804e-10
Historical Average,2016/2017,70,Delaware,7.24327667734804e-10
Historical Average,2016/2017,71,Delaware,7.24327667734804e-10
Historical Average,2016/2017,72,Delaware,7.24327667734804e-10
Subtype Historical Average,2016/2017,69,Delaware,4.91665405333273e-10
Subtype Historical Average,2016/2017,70,Delaware,4.91665405333273e-10
Subtype Historical Average,2016/2017,71,Delaware,4.91665405333273e-10
Subtype Historical Average,2016/2017,72,Delaware,4.91665405333273e-10
Dynamic Harmonic Model,2017/2018,69,Delaware,0.999999996260857
Dynamic Harmonic Model,2017/2018,70,Delaware,0.999999996260857
Dynamic Harmonic Model,2017/2018,71,Delaware,0.999999996260857
Dynamic Harmonic Model,2017/2018,72,Delaware,0.999999996260857
Historical Average,2017/2018,69,Delaware,2.29820364203891e-09
Historical Average,2017/2018,70,Delaware,2.29820364203891e-09
Historical Average,2017/2018,71,Delaware,2.29820364203891e-09
Historical Average,2017/2018,72,Delaware,2.29820364203891e-09
Subtype Historical Average,2017/2018,69,Delaware,1.4409397600617e-09
Subtype Historical Average,2017/2018,70,Delaware,1.4409397600617e-09
Subtype Historical Average,2017/2018,71,Delaware,1.4409397600617e-09
Subtype Historical Average,2017/2018,72,Delaware,1.4409397600617e-09
Dynamic Harmonic Model,2014/2015,40,Maryland,0.999998824986495
Dynamic Harmonic Model,2014/2015,41,Maryland,0.999998824986495
Dynamic Harmonic Model,2014/2015,42,Maryland,0.999998824986495
Dynamic Harmonic Model,2014/2015,43,Maryland,0.999998824986495
Dynamic Harmonic Model,2014/2015,44,Maryland,0.999998824986495
Historical Average,2014/2015,40,Maryland,9.89000965871e-07
Historical Average,2014/2015,41,Maryland,9.89000965871e-07
Historical Average,2014/2015,42,Maryland,9.89000965871e-07
Historical Average,2014/2015,43,Maryland,9.89000965871e-07
Historical Average,2014/2015,44,Maryland,9.89000965871e-07
Subtype Historical Average,2014/2015,40,Maryland,1.86012539215167e-07
Subtype Historical Average,2014/2015,41,Maryland,1.86012539215167e-07
Subtype Historical Average,2014/2015,42,Maryland,1.86012539215167e-07
Subtype Historical Average,2014/2015,43,Maryland,1.86012539215167e-07
Subtype Historical Average,2014/2015,44,Maryland,1.86012539215167e-07
Dynamic Harmonic Model,2015/2016,40,Maryland,0.999998456546741
Dynamic Harmonic Model,2015/2016,41,Maryland,0.999998456546741
Dynamic Harmonic Model,2015/2016,42,Maryland,0.999998456546741
Dynamic Harmonic Model,2015/2016,43,Maryland,0.999998456546741
Dynamic Harmonic Model,2015/2016,44,Maryland,0.999998456546741
Historical Average,2015/2016,40,Maryland,1.52976112263576e-06
Historical Average,2015/2016,41,Maryland,1.52976112263576e-06
Historical Average,2015/2016,42,Maryland,1.52976112263576e-06
Historical Average,2015/2016,43,Maryland,1.52976112263576e-06
Historical Average,2015/2016,44,Maryland,1.52976112263576e-06
Subtype Historical Average,2015/2016,40,Maryland,1.36921363590091e-08
Subtype Historical Average,2015/2016,41,Maryland,1.36921363590091e-08
Subtype Historical Average,2015/2016,42,Maryland,1.36921363590091e-08
Subtype Historical Average,2015/2016,43,Maryland,1.36921363590091e-08
Subtype Historical Average,2015/2016,44,Maryland,1.36921363590091e-08
Dynamic Harmonic Model,2016/2017,40,Maryland,0.999997404756024
