component_model_id,season,Model Week,target,weight
Subtype Historical Average,2016/2017,44,Season peak week,0.000138355756219173
Subtype Historical Average,2016/2017,40,Season peak percentage,0.000138355756219173
Subtype Historical Average,2016/2017,41,Season peak percentage,0.000138355756219173
Subtype Historical Average,2016/2017,42,Season peak percentage,0.000138355756219173
Subtype Historical Average,2016/2017,43,Season peak percentage,0.000138355756219173
Subtype Historical Average,2016/2017,44,Season peak percentage,0.000138355756219173
Dynamic Harmonic Model,2017/2018,40,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,41,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,42,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,43,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,44,Season peak week,0.644955313204253
Dynamic Harmonic Model,2017/2018,40,Season peak percentage,0.644955313204253
Dynamic Harmonic Model,2017/2018,41,Season peak percentage,0.644955313204253
Dynamic Harmonic Model,2017/2018,42,Season peak percentage,0.644955313204253
Dynamic Harmonic Model,2017/2018,43,Season peak percentage,0.644955313204253
Dynamic Harmonic Model,2017/2018,44,Season peak percentage,0.644955313204253
Historical Average,2017/2018,40,Season peak week,0.0390535485622348
Historical Average,2017/2018,41,Season peak week,0.0390535485622348
Historical Average,2017/2018,42,Season peak week,0.0390535485622348
Historical Average,2017/2018,43,Season peak week,0.0390535485622348
Historical Average,2017/2018,44,Season peak week,0.0390535485622348
Historical Average,2017/2018,40,Season peak percentage,0.0390535485622348
Historical Average,2017/2018,41,Season peak percentage,0.0390535485622348
Historical Average,2017/2018,42,Season peak percentage,0.0390535485622348
Historical Average,2017/2018,43,Season peak percentage,0.0390535485622348
Historical Average,2017/2018,44,Season peak percentage,0.0390535485622348
Subtype Historical Average,2017/2018,40,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,41,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,42,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,43,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,44,Season peak week,0.315991138233512
Subtype Historical Average,2017/2018,40,Season peak percentage,0.315991138233512
Subtype Historical Average,2017/2018,41,Season peak percentage,0.315991138233512
Subtype Historical Average,2017/2018,42,Season peak percentage,0.315991138233512
Subtype Historical Average,2017/2018,43,Season peak percentage,0.315991138233512
Subtype Historical Average,2017/2018,44,Season peak percentage,0.315991138233512
Dynamic Harmonic Model,2014/2015,45,Season peak week,0.958020666163881
Dynamic Harmonic Model,2014/2015,46,Season peak week,0.958020666163881
Dynamic Harmonic Model,2014/2015,47,Season peak week,0.958020666163881
Dynamic Harmonic Model,2014/2015,48,Season peak week,0.958020666163881
Dynamic Harmonic Model,2014/2015,45,Season peak percentage,0.958020666163881
Dynamic Harmonic Model,2014/2015,46,Season peak percentage,0.958020666163881
Dynamic Harmonic Model,2014/2015,47,Season peak percentage,0.958020666163881
Dynamic Harmonic Model,2014/2015,48,Season peak percentage,0.958020666163881
Historical Average,2014/2015,45,Season peak week,0.041346683280172
Historical Average,2014/2015,46,Season peak week,0.041346683280172
Historical Average,2014/2015,47,Season peak week,0.041346683280172
Historical Average,2014/2015,48,Season peak week,0.041346683280172
Historical Average,2014/2015,45,Season peak percentage,0.041346683280172
Historical Average,2014/2015,46,Season peak percentage,0.041346683280172
Historical Average,2014/2015,47,Season peak percentage,0.041346683280172
Historical Average,2014/2015,48,Season peak percentage,0.041346683280172
Subtype Historical Average,2014/2015,45,Season peak week,0.000632650555946984
Subtype Historical Average,2014/2015,46,Season peak week,0.000632650555946984
Subtype Historical Average,2014/2015,47,Season peak week,0.000632650555946984
Subtype Historical Average,2014/2015,48,Season peak week,0.000632650555946984
Subtype Historical Average,2014/2015,45,Season peak percentage,0.000632650555946984
Subtype Historical Average,2014/2015,46,Season peak percentage,0.000632650555946984
Subtype Historical Average,2014/2015,47,Season peak percentage,0.000632650555946984
Subtype Historical Average,2014/2015,48,Season peak percentage,0.000632650555946984
Dynamic Harmonic Model,2015/2016,45,Season peak week,0.822467977549063
Dynamic Harmonic Model,2015/2016,46,Season peak week,0.822467977549063
Dynamic Harmonic Model,2015/2016,47,Season peak week,0.822467977549063
Dynamic Harmonic Model,2015/2016,48,Season peak week,0.822467977549063
Dynamic Harmonic Model,2015/2016,45,Season peak percentage,0.822467977549063
Dynamic Harmonic Model,2015/2016,46,Season peak percentage,0.822467977549063
Dynamic Harmonic Model,2015/2016,47,Season peak percentage,0.822467977549063
Dynamic Harmonic Model,2015/2016,48,Season peak percentage,0.822467977549063
Historical Average,2015/2016,45,Season peak week,0.177394973103868
Historical Average,2015/2016,46,Season peak week,0.177394973103868
Historical Average,2015/2016,47,Season peak week,0.177394973103868
Historical Average,2015/2016,48,Season peak week,0.177394973103868
Historical Average,2015/2016,45,Season peak percentage,0.177394973103868
Historical Average,2015/2016,46,Season peak percentage,0.177394973103868
Historical Average,2015/2016,47,Season peak percentage,0.177394973103868
Historical Average,2015/2016,48,Season peak percentage,0.177394973103868
Subtype Historical Average,2015/2016,45,Season peak week,0.000137049347068407
Subtype Historical Average,2015/2016,46,Season peak week,0.000137049347068407
Subtype Historical Average,2015/2016,47,Season peak week,0.000137049347068407
Subtype Historical Average,2015/2016,48,Season peak week,0.000137049347068407
Subtype Historical Average,2015/2016,45,Season peak percentage,0.000137049347068407
Subtype Historical Average,2015/2016,46,Season peak percentage,0.000137049347068407
Subtype Historical Average,2015/2016,47,Season peak percentage,0.000137049347068407
Subtype Historical Average,2015/2016,48,Season peak percentage,0.000137049347068407
Dynamic Harmonic Model,2016/2017,45,Season peak week,0.820119111774784
Dynamic Harmonic Model,2016/2017,46,Season peak week,0.820119111774784
Dynamic Harmonic Model,2016/2017,47,Season peak week,0.820119111774784
Dynamic Harmonic Model,2016/2017,48,Season peak week,0.820119111774784
Dynamic Harmonic Model,2016/2017,45,Season peak percentage,0.820119111774784
Dynamic Harmonic Model,2016/2017,46,Season peak percentage,0.820119111774784
Dynamic Harmonic Model,2016/2017,47,Season peak percentage,0.820119111774784
Dynamic Harmonic Model,2016/2017,48,Season peak percentage,0.820119111774784
Historical Average,2016/2017,45,Season peak week,0.179735585766376
Historical Average,2016/2017,46,Season peak week,0.179735585766376
Historical Average,2016/2017,47,Season peak week,0.179735585766376
Historical Average,2016/2017,48,Season peak week,0.179735585766376
Historical Average,2016/2017,45,Season peak percentage,0.179735585766376
Historical Average,2016/2017,46,Season peak percentage,0.179735585766376
Historical Average,2016/2017,47,Season peak percentage,0.179735585766376
Historical Average,2016/2017,48,Season peak percentage,0.179735585766376
Subtype Historical Average,2016/2017,45,Season peak week,0.000145302458840305
Subtype Historical Average,2016/2017,46,Season peak week,0.000145302458840305
Subtype Historical Average,2016/2017,47,Season peak week,0.000145302458840305
Subtype Historical Average,2016/2017,48,Season peak week,0.000145302458840305
Subtype Historical Average,2016/2017,45,Season peak percentage,0.000145302458840305
Subtype Historical Average,2016/2017,46,Season peak percentage,0.000145302458840305
Subtype Historical Average,2016/2017,47,Season peak percentage,0.000145302458840305
Subtype Historical Average,2016/2017,48,Season peak percentage,0.000145302458840305
Dynamic Harmonic Model,2017/2018,45,Season peak week,0.749664913158372
Dynamic Harmonic Model,2017/2018,46,Season peak week,0.749664913158372
Dynamic Harmonic Model,2017/2018,47,Season peak week,0.749664913158372
Dynamic Harmonic Model,2017/2018,48,Season peak week,0.749664913158372
Dynamic Harmonic Model,2017/2018,45,Season peak percentage,0.749664913158372
Dynamic Harmonic Model,2017/2018,46,Season peak percentage,0.749664913158372
Dynamic Harmonic Model,2017/2018,47,Season peak percentage,0.749664913158372
Dynamic Harmonic Model,2017/2018,48,Season peak percentage,0.749664913158372
Historical Average,2017/2018,45,Season peak week,0.0818502915358137
Historical Average,2017/2018,46,Season peak week,0.0818502915358137
Historical Average,2017/2018,47,Season peak week,0.0818502915358137
Historical Average,2017/2018,48,Season peak week,0.0818502915358137
Historical Average,2017/2018,45,Season peak percentage,0.0818502915358137
Historical Average,2017/2018,46,Season peak percentage,0.0818502915358137
Historical Average,2017/2018,47,Season peak percentage,0.0818502915358137
Historical Average,2017/2018,48,Season peak percentage,0.0818502915358137
Subtype Historical Average,2017/2018,45,Season peak week,0.168484795305815
Subtype Historical Average,2017/2018,46,Season peak week,0.168484795305815
Subtype Historical Average,2017/2018,47,Season peak week,0.168484795305815
Subtype Historical Average,2017/2018,48,Season peak week,0.168484795305815
Subtype Historical Average,2017/2018,45,Season peak percentage,0.168484795305815
Subtype Historical Average,2017/2018,46,Season peak percentage,0.168484795305815
Subtype Historical Average,2017/2018,47,Season peak percentage,0.168484795305815
Subtype Historical Average,2017/2018,48,Season peak percentage,0.168484795305815
Dynamic Harmonic Model,2014/2015,49,Season peak week,0.951063422154463
Dynamic Harmonic Model,2014/2015,50,Season peak week,0.951063422154463
Dynamic Harmonic Model,2014/2015,51,Season peak week,0.951063422154463
Dynamic Harmonic Model,2014/2015,52,Season peak week,0.951063422154463
Dynamic Harmonic Model,2014/2015,49,Season peak percentage,0.951063422154463
Dynamic Harmonic Model,2014/2015,50,Season peak percentage,0.951063422154463
Dynamic Harmonic Model,2014/2015,51,Season peak percentage,0.951063422154463
Dynamic Harmonic Model,2014/2015,52,Season peak percentage,0.951063422154463
Historical Average,2014/2015,49,Season peak week,0.0486529583030071
Historical Average,2014/2015,50,Season peak week,0.0486529583030071
Historical Average,2014/2015,51,Season peak week,0.0486529583030071
Historical Average,2014/2015,52,Season peak week,0.0486529583030071
